station_id,receiver_id,lat,long,date_in,date_out
R01,5469,42.05108,3.21892,2021-06-28 10:11,2022-03-13 13:55
R02,5460,42.05298,3.22125,2021-06-28 10:23,2022-03-14 10:30
R03,5506,42.05065,3.22497,2021-06-28 10:49,2022-03-31 08:45
R04,5488,42.04945,3.22655,2021-06-28 11:10,2022-03-31 12:50
R05,8868,42.04732,3.22747,2021-06-26 11:40,2022-03-31 10:30
R06,8603,42.0453,3.22537,2021-06-26 14:46,2022-03-13 11:15
R07,5466,42.04367,3.22793,2021-06-26 13:27,2022-03-13 12:20
R08,8606,42.04273,3.22662,2021-06-26 15:20,2022-03-13 12:38
R09,6762,42.0419,3.22917,2021-06-26 14:10,2022-03-13 12:30
R10,6274,42.04023,3.22787,2021-06-26 15:40,2022-03-13 11:02
R11,5364,42.04102,3.22492,2021-07-02 12:00,2022-03-13 13:10
R12,5482,42.04462,3.21925,2021-06-28 12:26,2022-03-11 15:09
R13,5472,42.04762,3.21697,2021-06-28 13:04,2022-03-11 15:51
R01,5472,42.05108,3.21892,2022-03-13 14:00,2022-09-02 13:10
R02,5466,42.05298,3.22125,2022-03-14 10:35,2022-09-03 09:50
R03,8860,42.05065,3.22497,2022-03-31 08:50,2022-09-03 09:40
R04,8868,42.04945,3.22655,2022-03-31 12:56,2022-09-03 13:01
R05,5283,42.04732,3.22747,2022-03-31 15:34,2022-09-03 11:58
R06,6741,42.0453,3.22537,2022-03-13 11:20,2022-09-09 09:34
R07,8862,42.04367,3.22793,2022-03-13 12:25,2022-09-09 13:30
R08,6765,42.04273,3.22662,2022-03-13 12:45,2022-09-03 12:50
R09,6753,42.0419,3.22917,2022-03-13 12:35,2022-09-03 13:20
R10,6755,42.04023,3.22787,2022-03-13 11:07,2022-09-02 14:15
R11,6759,42.04102,3.22492,2022-03-13 13:15,2022-09-02 11:57
R12,6764,42.04462,3.21925,2022-03-11 15:14,2022-09-02 13:00
R13,6752,42.04762,3.21697,2022-03-11 15:56,2022-09-02 13:50
